Amenity Type,Name,Latitude,Longitude,road,suburb,state_district
restaurant,Banaras Sweet House and Bhojanalaya,25.2789746,82.9987794,BHU DLW Road,,Varanasi
restaurant,Capsicum,25.2802842,83.0026685,Pandit Manmohan Malviya Road,,Varanasi
restaurant,VNS Live Studio,25.3182588,82.9916193,Patel Road,Cantonment,Varanasi
restaurant,Wife on Leave,25.3211342,82.9911781,Patel Road,Cantonment,Varanasi
restaurant,Machan,25.2877642,82.9692105,SH74,Bhullanpur,Varanasi
restaurant,The Taste Factory,25.3058219,82.9859362,Rathyatra Mahmoorganj Road,,Varanasi
restaurant,Ksheer Sagar,25.3113365,82.9892046,Vidyapeeth Lanka Road,Cantonment,Varanasi
restaurant,Crystal Bowl,25.2903842,83.0018114,Ravindrapuri Road,,Varanasi
restaurant,Ksheer Sagar,25.2932557,83.0024791,Ravindrapuri Road,,Varanasi
restaurant,Parthos,25.305214,82.9792966,Raja Sir Motichand Road,,Varanasi
restaurant,Ksheer Sagar,25.3161738,82.9678179,NH731B,,Varanasi
restaurant,ajay dhaba,25.4555483,81.8746979,Bakshi Bandh,Allahpur,Prayagraj
restaurant,shaloo foods,25.4561013,81.8710948,Bakshi Bandh,Allahpur,Prayagraj
restaurant,sheenu chaat,25.4571289,81.8736109,Bakshi Bandh,Allahpur,Prayagraj
restaurant,juli restaraunt,25.4512381,81.8726547,krishna kunj road,Allahpur,Prayagraj
restaurant,Bhagirathi Food Plaza,25.2893311,82.9694725,SH74,Bhullanpur,Varanasi
restaurant,shkib,25.4568659,81.8651072,Hashimpur Road,George Town,Prayagraj
restaurant,sagar ratna,25.448168,81.8612474,Malviya Road,George Town,Prayagraj
restaurant,maharani  zayka,25.4498963,81.8626464,Jawaharlal Nehru Road,George Town,Prayagraj
restaurant,balaji,25.4587024,81.8568297,Pannalal Road,George Town,Prayagraj
restaurant,ramada,25.458673,81.8587279,,George Town,Prayagraj
restaurant,kahna shyam,25.4565644,81.8598892,Jawaharlal Nehru Road,George Town,Prayagraj
restaurant,Banaras Sweet House,25.2691284,82.9826179,Semi Circle Road 6,,Varanasi
restaurant,Singh's Delight Restaurant,25.26154,82.9814667,Semi Circle Road 6,,Varanasi
restaurant,Subway Varanasi,25.2947217,83.0001728,Durgakund Road,,Varanasi
restaurant,Ice dew ice cream,25.2950226,83.0005599,Durgakund Road,,Varanasi
restaurant,The Arabic Cafe,25.2949796,83.0006753,Durgakund Road,,Varanasi
